"Nb cards / Combination difficulty";"1[J]";"1[Q]";"1[K]";"1[A]";"2[2]";"2[J]";"2[A]";"3[2]";"3[J]";"3[A]";"4[2]";"4[J]";"4[A]"
"1";"33%";"26%";"19%";"11%";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"0%"
"2";"62%";"53%";"42%";"31%";"18%";"7%";"2%";"0%";"0%";"0%";"0%";"0%";"0%"
"3";"82%";"74%";"64%";"52%";"38%";"19%";"7%";"3%";"1%";"0%";"0%";"0%";"0%"
"4";"92%";"87%";"80%";"70%";"57%";"32%";"16%";"9%";"5%";"2%";"0%";"0%";"0%"
"5";"97%";"95%";"91%";"84%";"74%";"46%";"27%";"19%";"11%";"5%";"2%";"1%";"1%"
"6";"99%";"98%";"96%";"92%";"85%";"59%";"39%";"30%";"19%";"9%";"5%";"4%";"2%"
"7";"100%";"100%";"99%";"97%";"93%";"70%";"51%";"42%";"28%";"15%";"10%";"7%";"3%"
"8";"100%";"100%";"100%";"99%";"97%";"78%";"62%";"54%";"37%";"23%";"16%";"12%";"6%"
"9";"100%";"100%";"100%";"100%";"99%";"85%";"71%";"65%";"47%";"31%";"24%";"18%";"10%"
"10";"100%";"100%";"100%";"100%";"100%";"91%";"79%";"74%";"57%";"40%";"33%";"25%";"15%"
"11";"100%";"100%";"100%";"100%";"100%";"94%";"86%";"81%";"66%";"49%";"42%";"33%";"21%"
"12";"100%";"100%";"100%";"100%";"100%";"97%";"90%";"87%";"73%";"58%";"51%";"41%";"28%"
"13";"100%";"100%";"100%";"100%";"100%";"98%";"94%";"91%";"80%";"66%";"59%";"49%";"35%"
"14";"100%";"100%";"100%";"100%";"100%";"99%";"96%";"94%";"85%";"73%";"67%";"57%";"42%"
"15";"100%";"100%";"100%";"100%";"100%";"100%";"98%";"96%";"89%";"79%";"74%";"65%";"50%"
