"Nb cards / Combination difficulty";"1[J]";"1[Q]";"1[K]";"1[A]";"2[2]";"2[J]";"2[A]";"3[2]";"3[J]";"3[A]";"4[2]";"4[J]";"4[A]"
"1";"33%";"26%";"19%";"11%";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"0%"
"2";"62%";"53%";"42%";"31%";"18%";"8%";"4%";"0%";"0%";"0%";"0%";"0%";"0%"
"3";"82%";"74%";"64%";"52%";"38%";"20%";"10%";"3%";"2%";"1%";"0%";"0%";"0%"
"4";"92%";"87%";"80%";"70%";"57%";"34%";"20%";"9%";"6%";"4%";"0%";"0%";"0%"
"5";"97%";"95%";"91%";"84%";"74%";"47%";"30%";"19%";"13%";"8%";"2%";"2%";"1%"
"6";"99%";"98%";"96%";"92%";"85%";"59%";"42%";"30%";"21%";"14%";"5%";"4%";"3%"
"7";"100%";"100%";"99%";"97%";"93%";"70%";"53%";"42%";"31%";"21%";"10%";"8%";"6%"
"8";"100%";"100%";"100%";"99%";"97%";"78%";"63%";"54%";"41%";"29%";"16%";"14%";"10%"
"9";"100%";"100%";"100%";"100%";"99%";"85%";"72%";"65%";"50%";"38%";"24%";"20%";"15%"
"10";"100%";"100%";"100%";"100%";"100%";"91%";"79%";"74%";"59%";"47%";"33%";"28%";"22%"
"11";"100%";"100%";"100%";"100%";"100%";"94%";"86%";"81%";"68%";"55%";"42%";"36%";"29%"
"12";"100%";"100%";"100%";"100%";"100%";"97%";"90%";"87%";"75%";"63%";"51%";"44%";"36%"
"13";"100%";"100%";"100%";"100%";"100%";"98%";"94%";"91%";"81%";"70%";"59%";"53%";"44%"
"14";"100%";"100%";"100%";"100%";"100%";"99%";"96%";"94%";"86%";"76%";"67%";"60%";"51%"
"15";"100%";"100%";"100%";"100%";"100%";"100%";"98%";"96%";"89%";"81%";"74%";"67%";"59%"
