"Nb cards / Combination difficulty";"1[J]";"1[Q]";"1[K]";"1[A]";"2[2]";"2[J]";"2[A]";"3[2]";"3[J]";"3[A]";"4[2]";"4[J]";"4[A]"
"1";"33%";"26%";"19%";"11%";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"0%"
"2";"62%";"53%";"42%";"31%";"18%";"8%";"4%";"0%";"0%";"0%";"0%";"0%";"0%"
"3";"82%";"74%";"64%";"52%";"38%";"21%";"11%";"6%";"3%";"1%";"0%";"0%";"0%"
"4";"92%";"87%";"80%";"70%";"57%";"35%";"22%";"15%";"10%";"5%";"2%";"1%";"1%"
"5";"97%";"95%";"91%";"84%";"74%";"49%";"34%";"27%";"20%";"12%";"6%";"5%";"2%"
"6";"99%";"98%";"96%";"92%";"85%";"62%";"47%";"39%";"30%";"20%";"13%";"10%";"6%"
"7";"100%";"100%";"99%";"97%";"93%";"72%";"58%";"52%";"41%";"30%";"22%";"18%";"11%"
"8";"100%";"100%";"100%";"99%";"97%";"81%";"69%";"63%";"52%";"40%";"31%";"27%";"18%"
"9";"100%";"100%";"100%";"100%";"99%";"88%";"77%";"72%";"61%";"50%";"42%";"36%";"26%"
"10";"100%";"100%";"100%";"100%";"100%";"92%";"84%";"80%";"70%";"59%";"52%";"46%";"35%"
"11";"100%";"100%";"100%";"100%";"100%";"96%";"89%";"86%";"77%";"67%";"61%";"55%";"44%"
"12";"100%";"100%";"100%";"100%";"100%";"98%";"93%";"91%";"83%";"75%";"70%";"64%";"53%"
"13";"100%";"100%";"100%";"100%";"100%";"99%";"96%";"94%";"87%";"81%";"77%";"71%";"61%"
"14";"100%";"100%";"100%";"100%";"100%";"99%";"98%";"96%";"91%";"86%";"82%";"78%";"69%"
"15";"100%";"100%";"100%";"100%";"100%";"100%";"99%";"98%";"94%";"90%";"87%";"83%";"76%"
