"Nb cards / Combination difficulty";"1[J]";"1[Q]";"1[K]";"1[A]";"2[2]";"2[J]";"2[A]";"3[2]";"3[J]";"3[A]";"4[2]";"4[J]";"4[A]"
"1";"33,3 %";"25,9 %";"18,5 %";"11,1 %";"0,0 %";"0,0 %";"0,0 %";"0,0 %";"0,0 %";"0,0 %";"0,0 %";"0,0 %";"0,0 %"
"2";"59,8 %";"49,7 %";"38,5 %";"26,2 %";"12,8 %";"4,0 %";"1,0 %";"0,0 %";"0,0 %";"0,0 %";"0,0 %";"0,0 %";"0,0 %"
"3";"78,3 %";"69,0 %";"57,4 %";"43,3 %";"26,2 %";"11,1 %";"3,8 %";"1,0 %";"0,3 %";"0,1 %";"0,0 %";"0,0 %";"0,0 %"
"4";"89,8 %";"83,0 %";"73,3 %";"59,9 %";"42,1 %";"20,3 %";"8,4 %";"3,6 %";"1,2 %";"0,4 %";"0,1 %";"0,0 %";"0,0 %"
"5";"95,9 %";"91,8 %";"85,0 %";"74,4 %";"58,3 %";"30,5 %";"14,9 %";"8,1 %";"3,0 %";"1,0 %";"0,3 %";"0,1 %";"0,0 %"
"6";"98,7 %";"96,7 %";"92,7 %";"85,4 %";"72,8 %";"40,8 %";"22,9 %";"14,5 %";"5,7 %";"2,1 %";"0,9 %";"0,3 %";"0,1 %"
"7";"99,7 %";"98,9 %";"97,0 %";"92,7 %";"84,1 %";"50,9 %";"31,6 %";"22,3 %";"9,3 %";"3,9 %";"1,9 %";"0,6 %";"0,2 %"
"8";"99,9 %";"99,7 %";"99,0 %";"96,9 %";"91,9 %";"60,4 %";"40,6 %";"31,0 %";"13,9 %";"6,4 %";"3,5 %";"1,2 %";"0,4 %"
"9";"100,0 %";"100,0 %";"99,7 %";"98,9 %";"96,5 %";"69,0 %";"49,3 %";"39,7 %";"19,4 %";"9,6 %";"5,8 %";"2,1 %";"0,8 %"
"10";"100,0 %";"100,0 %";"100,0 %";"99,7 %";"98,7 %";"76,7 %";"57,4 %";"48,2 %";"25,6 %";"13,6 %";"8,8 %";"3,4 %";"1,3 %"
"11";"100,0 %";"100,0 %";"100,0 %";"99,9 %";"99,7 %";"83,2 %";"65,1 %";"56,3 %";"32,4 %";"18,4 %";"12,6 %";"5,2 %";"2,1 %"
"12";"100,0 %";"100,0 %";"100,0 %";"100,0 %";"99,9 %";"88,5 %";"72,2 %";"63,8 %";"39,5 %";"23,8 %";"17,1 %";"7,4 %";"3,2 %"
