"Nb cards / Combination difficulty";"1[J]";"1[Q]";"1[K]";"1[A]";"2[2]";"2[J]";"2[A]";"3[2]";"3[J]";"3[A]";"4[2]";"4[J]";"4[A]"
"1";"28%";"22%";"17%";"11%";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"0%"
"2";"50%";"42%";"33%";"24%";"9%";"3%";"1%";"0%";"0%";"0%";"0%";"0%";"0%"
"3";"67%";"58%";"48%";"37%";"19%";"8%";"3%";"1%";"0%";"0%";"0%";"0%";"0%"
"4";"79%";"72%";"62%";"50%";"30%";"15%";"7%";"2%";"1%";"0%";"0%";"0%";"0%"
"5";"88%";"82%";"73%";"62%";"41%";"23%";"12%";"4%";"2%";"1%";"0%";"0%";"0%"
"6";"93%";"89%";"82%";"72%";"53%";"31%";"17%";"8%";"3%";"2%";"0%";"0%";"0%"
"7";"96%";"93%";"88%";"80%";"64%";"39%";"24%";"13%";"6%";"3%";"1%";"0%";"0%"
"8";"98%";"96%";"93%";"87%";"74%";"47%";"31%";"18%";"9%";"5%";"1%";"1%";"0%"
"9";"99%";"98%";"96%";"92%";"82%";"55%";"38%";"25%";"12%";"7%";"2%";"1%";"1%"
"10";"100%";"99%";"98%";"95%";"88%";"62%";"45%";"31%";"16%";"9%";"4%";"2%";"1%"
"11";"100%";"100%";"99%";"97%";"92%";"68%";"51%";"38%";"21%";"12%";"6%";"3%";"1%"
"12";"100%";"100%";"99%";"99%";"95%";"74%";"58%";"44%";"26%";"16%";"8%";"4%";"2%"
"13";"100%";"100%";"100%";"99%";"97%";"79%";"64%";"51%";"31%";"20%";"10%";"5%";"3%"
"14";"100%";"100%";"100%";"100%";"99%";"83%";"69%";"57%";"37%";"24%";"14%";"7%";"4%"
"15";"100%";"100%";"100%";"100%";"99%";"87%";"74%";"62%";"42%";"29%";"17%";"9%";"5%"
